Subject,Predicate,Object
"Machine Learning Workshop","at","2025-09-15T09:00:00-07:00/2025-09-15T12:00:00-07:00"
"Weekly Meeting (test)","at","2025-09-16T12:00:00-07:00/2025-09-16T13:00:00-07:00"
"Weekly Meeting (test)","location","Centerpoint on Mill, 660 S Mill Ave, Tempe, AZ 85281, USA"
"ASU-KIM-LAB weekly seminar","at","2025-09-17T11:00:00-07:00/2025-09-17T12:00:00-07:00"
"Organic Chemistry Lab","at","2025-09-20T11:00:00-07:00/2025-09-20T13:00:00-07:00"
"Monthly Review Meeting","at","2025-09-20T15:00:00-07:00/2025-09-20T16:00:00-07:00"
"Weekly Meeting (test)","at","2025-09-23T12:00:00-07:00/2025-09-23T13:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2025-09-24T11:00:00-07:00/2025-09-24T12:00:00-07:00"
"Department Meeting","at","2025-09-25T10:00:00-07:00/2025-09-25T11:30:00-07:00"
"Modern History Lecture","at","2025-09-25T10:30:00-07:00/2025-09-25T12:00:00-07:00"
"Weekly Meeting (test)","at","2025-09-30T12:00:00-07:00/2025-09-30T13:00:00-07:00"
"Morning Run","at","2025-10-01T06:30:00-07:00/2025-10-01T07:00:00-07:00"
"Breakfast","at","2025-10-01T08:00:00-07:00/2025-10-01T08:30:00-07:00"
"Monthly Kickoff Meeting","at","2025-10-01T09:00:00-07:00/2025-10-01T10:00:00-07:00"
"Work Session","at","2025-10-01T09:00:00-07:00/2025-10-01T12:00:00-07:00"
"Data Science Fundamentals","at","2025-10-01T10:00:00-07:00/2025-10-01T11:30:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2025-10-01T11:00:00-07:00/2025-10-01T12:00:00-07:00"
"Lunch Break","at","2025-10-01T12:30:00-07:00/2025-10-01T13:00:00-07:00"
"Meditation","at","2025-10-01T18:30:00-07:00/2025-10-01T19:00:00-07:00"
"Client Workshop","at","2025-10-02T10:00:00-07:00/2025-10-02T12:00:00-07:00"
"Design Review","at","2025-10-03T09:00:00-07:00/2025-10-03T10:00:00-07:00"
"Client Feedback Session","at","2025-10-04T10:00:00-07:00/2025-10-04T11:00:00-07:00"
"Astrophysics Seminar","at","2025-10-05T14:00:00-07:00/2025-10-05T16:00:00-07:00"
"Family Dinner","at","2025-10-05T18:00:00-07:00/2025-10-05T20:00:00-07:00"
"Game Night","at","2025-10-05T20:00:00-07:00/2025-10-05T23:00:00-07:00"
"Weekly Sync-Up","at","2025-10-07T09:00:00-07:00/2025-10-07T10:00:00-07:00"
"Weekly Meeting (test)","at","2025-10-07T12:00:00-07:00/2025-10-07T13:00:00-07:00"
"Product Development Meeting","at","2025-10-08T10:00:00-07:00/2025-10-08T11:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2025-10-08T11:00:00-07:00/2025-10-08T12:00:00-07:00"
"Client Call","at","2025-10-09T09:00:00-07:00/2025-10-09T10:00:00-07:00"
"Programming in Python","at","2025-10-10T09:00:00-07:00/2025-10-10T12:00:00-07:00"
"Product Demo","at","2025-10-10T10:00:00-07:00/2025-10-10T11:00:00-07:00"
"Retrospective Meeting","at","2025-10-11T09:00:00-07:00/2025-10-11T10:00:00-07:00"
"Hiking Trip","at","2025-10-12T06:00:00-07:00/2025-10-12T12:00:00-07:00"
