prompt,answer
When is my next Weekly Meeting (test)?,"Your next 'Weekly Meeting (test)' is on Tuesday, September 16, 2025, at 12:00 PM MST at Centerpoint on Mill, Tempe, AZ."
What time is my Department Meeting scheduled?,"Your Department Meeting is on Thursday, September 25, 2025, from 10:00 AM to 11:30 AM MST."
Do I have any workshops coming up in September?,"Yes, you have a Machine Learning Workshop on Monday, September 15, 2025, from 9:00 AM to 12:00 PM MST, and a Modern History Lecture on Thursday, September 25, 2025, from 10:30 AM to 12:00 PM MST."
When is my next Meditation session?,"Your next Meditation is on Wednesday, October 1, 2025, from 6:30 PM to 7:00 PM MST."
Where is my Weekly Meeting (test) usually held?,"It is held at Centerpoint on Mill, 660 S Mill Ave, Tempe, AZ 85281, USA."
When is my next Client Presentation?,"Your next Client Presentation is on Thursday, November 20, 2025, at 10:00 AM MST."
What time is my AI Ethics Lecture?,"Your AI Ethics Lecture is on Sunday, November 2, 2025, from 10:00 AM to 11:30 AM MST."
When is my next Product Demo?,"Your next Product Demo is on Friday, October 10, 2025, at 10:00 AM MST."
Do I have any Review Meetings in December?,"Yes, you have a Monthly Review Meeting on Tuesday, December 2, 2025, from 9:00 AM to 10:00 AM MST."
When is Christmas this year?,"Christmas is on Thursday, December 25, 2025 (all day)."
When is my next Family Dinner?,"Your next Family Dinner is on Monday, November 3, 2025, from 6:00 PM to 8:00 PM MST."
"What events do I have on November 9, 2025?","On Sunday, November 9, 2025, you have a Quantum Mechanics Workshop from 2:00 PM to 4:00 PM MST and a Hiking Trip from 6:00 AM to 12:00 PM MST."
When is my next One-on-One Meeting?,"Your next One-on-One Meeting is on Wednesday, October 15, 2025, at 10:00 AM MST."
When is my next Design Review?,"Your next Design Review is on Wednesday, October 29, 2025, at 10:00 AM MST."
Do I have any exams or workshops related to Chemistry?,"Yes, you have an Organic Chemistry Lab on Saturday, September 20, 2025, at 11:00 AM MST, and an Inorganic Chemistry Lab on Thursday, November 20, 2025, from 11:00 AM to 1:00 PM MST."
When is my next Holiday Party?,"Your Holiday Party is on Thursday, December 25, 2025, from 7:00 PM to 10:00 PM MST."
Do I have any lectures scheduled in December?,"Yes, you have a Neural Networks Introduction on Monday, December 1, 2025, from 9:00 AM to 11:30 AM MST, and a Philosophy of Science lecture on Saturday, December 20, 2025, from 10:30 AM to 12:00 PM MST."
When is my next Work Session?,"Your next Work Session is on Monday, December 1, 2025, from 9:00 AM to 12:00 PM MST."
What events are planned with friends in November?,"In November, you have Dinner with Friends on Sunday, November 16, 2025 (6:00 PM to 8:00 PM MST), Beach Day with Friends on Sunday, November 23, 2025 (9:00 AM to 2:00 PM MST), and Game Night on Monday, November 3, 2025 (8:00 PM to 11:00 PM MST)."
When is my next Morning Walk?,"Your next Morning Walk is on Monday, December 1, 2025, at 5:30 AM MST."
